global_step,training/rollout_reward_mean,episode/length,episode/sum_reward,episode/reward/wholebody_hand_clearance,episode/reward/wholebody_arm_clearance,training/v_loss,training/policy_loss,training/entropy_loss,training/sps,rollout/completed_episodes,rollout/done_rate,rollout/termination_step_rate,rollout/timeout_step_rate,rollout/episodes,rollout/termination_rate,rollout/timeout_rate,rollout/pfid/37/episodes,rollout/pfid/37/termination_rate,rollout/pfid/37/timeout_rate,rollout/pfid/38/episodes,rollout/pfid/38/termination_rate,rollout/pfid/38/timeout_rate
1042284544,0.3259087800979614,746.175,244.77840795093775,-11.78372893582657,-0.15161189522265342,0.08037108927965164,-0.0027943861205130816,-0.020491618663072586,87812.25529264403,1426183.0,0.0013683240418462927,0.0005480557140450122,0.0008202683278012803,1434.7917505030182,0.3983708380219378,0.6016291619780623,81.47585513078471,0.9799748967114109,0.020025103288588978,53.570422535211264,0.6372581424950862,0.36274185750491383
1043333120,0.32510319352149963,728.114,235.56916108878144,-12.279278135082684,-0.17001814943971025,0.0815785676240921,-0.002554581966251135,-0.020672811195254326,87827.21328984622,1427646.0,0.0013683510785126806,0.0005480502718058064,0.0008203008067068742,1434.8201005025126,0.398361346589364,0.6016386534106359,81.47035175879397,0.9799817984285484,0.020018201571451545,53.562814070351756,0.6371857397300703,0.3628142602699297
1044381696,0.3248194456100464,699.558,224.60993719730527,-13.110796221807453,-0.20086267817290196,0.08842962235212326,-0.002901074942201376,-0.02045971155166626,87905.65514612412,1429078.0,0.0013683483782542278,0.0005480793106508063,0.0008202690676034215,1434.8172690763051,0.39838556816258713,0.6016144318374129,81.48092369477912,0.9799800705883241,0.020019929411675776,53.545180722891565,0.6372153390543038,0.36278466094569617
1045430272,0.3239726722240448,708.619,229.06610538602342,-12.352611634239555,-0.20918073298389128,0.085182785987854,-0.0024808153975754976,-0.020404409617185593,87603.24616797615,1430575.0,0.0013684078587691787,0.0005481044650675659,0.0008203033937016126,1434.8796389167503,0.398388661480256,0.6016113385197441,81.48244734202608,0.9799880663121362,0.020011933687863744,53.53059177532598,0.637039133560306,0.362960866439694
1046478848,0.3241201639175415,717.394,233.6110866724346,-12.248343921683729,-0.19592626077472622,0.08316941559314728,-0.00305048911832273,-0.020288029685616493,87830.32477253674,1432058.0,0.0013684538418878773,0.0005481181020488243,0.0008203357398390531,1434.9278557114228,0.39838743827526524,0.6016125617247348,81.47895791583166,0.9799952721446686,0.020004727855331327,53.516032064128254,0.6370174356463023,0.3629825643536977
1047527424,0.32185107469558716,689.763,225.62218816987053,-11.488470534097404,-0.18721591780589342,0.09196968376636505,-0.0027010254561901093,-0.020087137818336487,87641.31287099702,1433625.0,0.0013685799217796899,0.0005481794431760862,0.0008204004786036036,1435.06006006006,0.3983968458220735,0.6016031541779265,81.48748748748748,0.9799930524305877,0.020006947569412303,53.5005005005005,0.6370119917140923,0.3629880082859078
1048576000,0.3253951966762543,667.315,215.98760553333537,-11.745617447929456,-0.2215670188632331,0.08429037779569626,-0.0021018092520534992,-0.02012810856103897,87553.92006495246,1435002.0,0.0013685245513916015,0.0005481996536254882,0.0008203248977661133,1435.002,0.398431273958096,0.601568726041904,81.472,0.9799979078630056,0.020002092136994408,53.49,0.6370493983270292,0.3629506016729707
1049624576,0.3250347375869751,719.893,235.41756370128692,-12.371106724845712,-0.22689166598457108,0.08578566461801529,-0.0032958625815808773,-0.020249072462320328,87427.86330537719,1436439.0,0.0013665628433227538,0.0005462856292724609,0.000820277214050293,1432.945,0.39809325140506846,0.6019067485949315,81.269,0.9799979078630056,0.020002092136994408,53.22,0.6366580939792031,0.36334190602079686
1050673152,0.3232347071170807,711.65,228.95652046350577,-13.004937714591623,-0.22818843786852705,0.08063580095767975,-0.0027919230051338673,-0.020170042291283607,87800.59404527018,1437868.0,0.0013659601211547853,0.0005456123352050781,0.000820347785949707,1432.313,0.39787730658152853,0.6021226934184714,81.211,0.9799479078630056,0.020052092136994402,53.112,0.6363790242117613,0.3636209757882387
1051721728,0.32376039028167725,730.606,236.0139528904855,-13.423661066416651,-0.20511281144885526,0.07850287854671478,-0.002569058211520314,-0.02018420211970806,87442.59326428357,1439261.0,0.0013658037185668944,0.0005453634262084961,0.0008204402923583984,1432.149,0.3977514912492474,0.6022485087507525,81.204,0.9798604078630055,0.020139592136994407,53.063,0.636135121772737,0.36386487822726304
